Player Name,PREVIOUS POINTS,FINAL POINTS,Tia Previous,Tia All,Tia Total,Cerb Previous,Cerb All,Cerb Total,Khim Previous,Khim All,Khim Total
Pyscal,69.75,69.75,4,4,71.75,,,,,,
Raw,359.92,359.92,127,127,423.42,,,,,,
Rebelscum,69.5,69.5,,,69.5,,,,,,
Redmaiden,146,146,47,47,169.5,,,,,,
Rhazgull,63.43,63.43,12,12,69.43,,,,,,
Rollan,239.5,239.5,56,56,267.5,,,,,,
Roq,111.05,111.05,,,111.05,,,,,,
Rydin,26,26,,,26,,,,,,
Ryger,106.75,106.75,,,106.75,,,,,,
Ryujih,140.12,140.12,5,5,142.62,,,,,,
Senegoid,6.75,6.75,,,6.75,,,,,,
Setsuko,313.52,313.52,52,52,339.52,,,,,,
Sgtpepper,133.66,133.66,8,8,137.66,,,,,,
Shirahime,62.25,62.25,,,62.25,,,,,,
Shish,64.25,64.25,,,64.25,,,,,,
Snow,186.56,186.56,15,15,194.06,,,,,,
Sobadoba,13.75,13.75,,,13.75,,,,,,
Sovietfher,95.75,95.75,77,77,134.25,,,,,,
Stabbyflute,434.75,434.75,211,211,540.25,,,,,,
Sundrix,106.98,106.98,0,0,106.98,,,,,,
Tarns,128.25,128.25,89,89,172.75,,,,,,
Tearshang,6.25,6.25,,,6.25,,,,,,
Tesseract,94.5,94.5,43,43,116,,,,,,
Thor,300.7,300.7,81,81,341.2,,,,,,
Thris,119,119,26,26,132,,,,,,
Tnt,336.25,336.25,59,59,365.75,,,,,,
Tomoko,52,52,3,3,53.5,,,,,,
Tooshay,76.56,76.56,,,76.56,,,,,,
Torg,16.25,16.25,,,16.25,,,,,,
Trogdor,40.5,40.5,,,40.5,,,,,,
Trumped,23.75,23.75,2,2,24.75,,,,,,
Tumps,9.25,9.25,2,2,10.25,,,,,,
Vac,236.81,236.81,35,35,254.31,,,,,,
Valentine,117.5,117.5,7,7,121,,,,,,
Vlashin,85.13,85.13,,,85.13,,,,,,
Vyrr,22.25,22.25,,,22.25,,,,,,
Wednesday,16.25,16.25,,,16.25,,,,,,
Wizardarms,143.5,143.5,81,81,184,,,,,,
Xavier,118.25,118.25,4,4,120.25,,,,,,
Yamina,117,117,51,51,142.5,,,,,,
Yupitan,177,177,61,61,207.5,,,,,,
,0,0,,,0,,,,,,
,0,0,,,0,,,,,,
,0,0,,,0,,,,,,
,0,0,,,0,,,,,,
,0,0,,,0,,,,,,
,0,0,,,0,,,,,,
,0,0,,,0,,,,,,
,0,0,,,0,,,,,,
,0,0,,,0,,,,,,
,0,0,,,0,,,,,,
,0,0,,,0,,,,,,
,0,0,,,0,,,,,,
,0,0,,,0,,,,,,
,0,0,,,0,,,,,,
,0,0,,,0,,,,,,
,,,,,0,,,,,,
,,,,,0,,,,,,
,,,,,0,,,,,,
,,,,,0,,,,,,
,,,,,0,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Agetos,26,26,,,,,,,,,
Alaris,16.74,16.74,,,,,,,,,
Dragonfire,31,31,,,,,,,,,
Vortie,14.5,14.5,,,,,,,,,
Zajin,18,18,,,,,,,,,
Zeroumus,24.5,24.5,,,,,,,,,
Haken,81.32,81.32,,,81.32,,,,,,
Kahnya,134.14,134.14,117,117,192.64,,,,,,
Whereami,263.4,263.4,74,74,300.4,,,,,,
Papi,92,92,,,,,,,,,
Tiiilo,22.5,22.5,,,,,,,,,
Nickolas,1.5,1.5,,,,,,,,,
Kamakaze,3.25,3.25,,,,,,,,,
Kale,50,50,,,,,,,,,
Basket,5.75,5.75,,,,,,,,,
Blankie,10.5,10.5,,,,,,,,,
Cidant,298.25,298.25,60,60,328.25,,,,,,
Cadja,41.75,41.75,,,41.75,,,,,,
Captain,7.25,7.25,10,10,12.25,,,,,,
Starsgalka,50.25,50.25,,,50.25,,,,,,
Eddbert,65.5,65.5,19,19,75,,,,,,
Rahne,3,3,,,3,,,,,,
Beastieboy,161.5,161.5,44,44,183.5,,,,,,
Hacknbot,14,14,,,14,,,,,,
Kittrigs,5,5,,,5,,,,,,
Thelo,6,6,,,6,,,,,,
Zxzlenin,270.5,270.5,38,38,289.5,,,,,,
Wookienip,19.75,19.75,,,19.75,,,,,,
Slippinjimmy,1.25,1.25,,,1.25,,,,,,
